city,timestamp,temperature,season
New York,2010-01-01,-7.993161805167936,winter
New York,2010-01-02,-1.1063617005025077,winter
New York,2010-01-03,-0.8908164507188471,winter
New York,2010-01-04,-1.9683875115687943,winter
New York,2010-01-05,3.7065775844324165,winter
New York,2010-01-06,-0.04166623088682094,winter
New York,2010-01-07,6.314276684831947,winter
New York,2010-01-08,5.315319722413907,winter
New York,2010-01-09,1.0188275365138495,winter
New York,2010-01-10,4.240282501125197,winter
New York,2010-01-11,4.2558781296954,winter
New York,2010-01-12,-0.8336253728994115,winter
New York,2010-01-13,-10.831934707967854,winter
New York,2010-01-14,3.4329878952157546,winter
New York,2010-01-15,-0.8659639190404302,winter
New York,2010-01-16,1.5890359364855324,winter
New York,2010-01-17,3.7523252410953285,winter
New York,2010-01-18,7.1462161087541975,winter
New York,2010-01-19,-9.077012850023515,winter
New York,2010-01-20,-9.832595274824682,winter
New York,2010-01-21,-3.578082324724754,winter
New York,2010-01-22,0.8074645562295804,winter
New York,2010-01-23,-1.251051971434083,winter
New York,2010-01-24,-3.7668614620410357,winter
New York,2010-01-25,8.3901576998542,winter
New York,2010-01-26,-7.312020135745735,winter
New York,2010-01-27,-4.591565973285713,winter
New York,2010-01-28,3.589951232713295,winter
New York,2010-01-29,1.0784154123933283,winter
New York,2010-01-30,-5.897425876850706,winter
New York,2010-01-31,-1.801436376505499,winter
New York,2010-02-01,1.3381183321962458,winter
New York,2010-02-02,5.7765189703869595,winter
New York,2010-02-03,-4.353279441875975,winter
New York,2010-02-04,1.5092510818005542,winter
New York,2010-02-05,-2.9791099470479097,winter
New York,2010-02-06,7.506563163164453,winter
New York,2010-02-07,6.535606338586991,winter
New York,2010-02-08,10.087682391693818,winter
New York,2010-02-09,0.48394943405431406,winter
New York,2010-02-10,4.061820503992562,winter
New York,2010-02-11,-3.7492794106439318,winter
New York,2010-02-12,11.585384862432427,winter
New York,2010-02-13,-0.1376330673928524,winter
New York,2010-02-14,4.259222304099717,winter
New York,2010-02-15,7.445400760483311,winter
New York,2010-02-16,-8.05842880954941,winter
New York,2010-02-17,6.572593916155376,winter
New York,2010-02-18,-5.338063843826577,winter
New York,2010-02-19,3.900912511988464,winter
New York,2010-02-20,-2.777450009629061,winter
New York,2010-02-21,-2.1505278322426244,winter
New York,2010-02-22,1.057594753358426,winter
New York,2010-02-23,-3.5880751392200727,winter
New York,2010-02-24,-7.109581946024175,winter
New York,2010-02-25,-6.362271719204599,winter
New York,2010-02-26,4.256636250233856,winter
New York,2010-02-27,1.7871390457775524,winter
New York,2010-02-28,-5.502913203312845,winter
New York,2010-03-01,7.01630852674167,spring
New York,2010-03-02,21.300185084114652,spring
